1204,1233,1340,1341,1676,1677,1685,1691,1699,1700,1722,1725,1732,1742,1747,1766,1824,1872,1886,1889,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2140
,,1330937928,,,1330924204,1330582983,1330674197,,,1330936273,,1330932061,1330670310,1330913128,1330936519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1330937854,,,1330925904,1330583106,,,,,,1330928732,,1330914186,1330935607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,1333681548,1333493604,,,1333746624,1333314890,1333698930,,,1333947405,,1333951459,1333575073,1332903668,1332893825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,1330936837,,,1330924815,1330578931,1330674725,,,1330935924,,1330929081,1330891888,1330913324,1330937827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1330935101,,,1330925619,1330579690,,,,1330935096,,1330929683,1330917594,1330913093,1330934364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,1329119468,,,1347913282,1329077825,1328837117,1328517405,,,,1329119743,,1346781888,,1347859855,1343595608,1347588345,,,,,1347167214,1346643182,,1347764455,,1347038835,,,,1346275026,1346293431,,,,1347844968,,,,1347841100,,,,1346783714,,,,,,1347766152,,1347823451,1347766397,,1347150267,,1347840034,,1347419997,1346819660,,,1347889349,1347429883,,,,,1348003300,,,,,,,,,,1347990249,1347852456,,1347232221,,1347923688,,1346555340,,,1346292820,,1346789635,,,,1346970708,,,1347469960,,,,1347133970,,1346789834,,,,,,,,1346439764,,,,1347167703,1347825178,,,,,,,,,,,,,1347993271,1347832284,,,,,,,1347222680,,,,,1347824734,,,,,1346774968,1346280031,,,,1347140680,,,,,,,,1346376283,,1347316768,,,,,,,,,1347848852,,1347298616,,,1347832328,1346868730,,1347753888,1346978586,,,,1347850891,1347215869,,,,,,1347742572,,,,,,,,,,1347818975,,1347125609,,,,,1346685262,,,,1346955536,,,,,1347826214,,,,,,,,1347566758,,1347044565,1347828976,,,,,,,,,1347244344,,,,,1346702184,,,,,,,,1347763509,,,,,,1347925335,1347755153,17
,1333682416,1333427466,,,1333746753,1333314188,1333697696,,,1333947420,,1331538767,1333573774,1332903454,1332892371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,1321851135,1333539354,,,1333810747,1333686645,1333699338,,,1333949713,,1333953150,1333575759,,1333343837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,,1330321136,,,1330637212,1330285886,1330293652,1330322562,1330307135,1330923077,,1330331997,1330295839,1347465063,1330289253,,,,,,,,,1347758354,,,,,,,,1347906109,1347754752,,,,,,,,1347843514,,,,,,,1347855336,,,,,,,,1348024071,,1347840855,,,,,,,,,,,,,,,,,,,,,,,1347853564,,,,,,1347136592,,,,,,,,,,,,1347575734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347662686,,,,,,,,,,1348025707,1347811140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347846149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347677804,,,,,,,,,,,,,,,,,,,,1347598735,,,,,,,,,,,,,,,,,,,,1347773555,26
